Document name,about_pharmacy_refusals,Additional notes
 Girl In Room 13'_ Lifetime Premiere Date and How to Watch Anne Heche's Last Movie,No,
_ Google searches for Plan B pills surged as people fear future of abortion rights. But will the 'mo,No,
"1,000-Plus Religious Leaders Ask Attorney General Barr to Focus on Life, Not Federal Executions",No,
24 Legislative Update_ 56 New Laws Targeting Housing Development Become Effective in California,No,
3 Takeaways From the Supreme Court Arguments on Abortion Pill Access,No,"It has a section that discusses pharmacy refusals, 
but no specific individuals are mentioned."
50-State Update on Legislation Pertaining to Employer-Mandated Vaccinations - UPDATED February 2022,No,
50-State Update on Legislation Pertaining to Employer-Mandated Vaccinations - Updated February 23 20,No,
50-State Update On Pending Legislation Pertaining To Employer-Mandated Vaccinations - UPDATED April,No,
50-state Update On Pending Legislation Pertaining To Employer-Mandated Vaccinations - Updated July 2,No,
57% of Those Who Won't Get COVID Vaccine Say They Generally Avoid Them_ Poll,No,
8th Circuit Decision Roundup GÇô June 2024,No,
A Complicated Prognosis for Medicine and Religious Liberty,No,"The document mentions how some healthcare workers can 
refuse to take care of patients because of their personal 
beliefs, but unfortunately, no specific examples are provided."
"A Last Gift of Love_ One Way to Switzerland , Business Class",Yes,"I'm not sure about this

The author mentioned multiple times how some doctors 
refused to provide drugs that could be used to assist the author 
but no specific drugs are mentioned, and the author 
did not explicitly state the reasons why the doctors refused to do so."
A Needle in Every Arm_ Nemesis WILL Follow the Hubris of 'The Science.',No,"The document mentioned how a patient was refused Ivermectin but the 
reason behind the decision was not explicitly stated."
A Win for Evangelical Christians and Other Faithful Employees in the Workplace _ Title VII and Relig,No,
"Abortion In Italy Is Legal, But Finding One Is Hard",Yes,
Abortion Pill To Stay On Market (FOR NOW) With Entirely Nonsensical Restrictions,No,
ACLU Files Motion Against Kentucky Clerk Over Gay Marriage,No,
ACLU wants Kentucky clerk in contempt of court over denying gay marriage licenses,No,
AG Prevails in Landmark Case in Federal Appeals Court,Yes,
All The Anti-Choice And Anti-Gay Trump Judges 'Pro-Choice' Kyrsten Sinema Voted For_ A Really Gross,No,
"America 's Most Shocking Quarantine Laws_ $2.00 Salaries, Clauses for Immigrants, and Hospitals in V",No,
"America 's patchwork, for-profit healthcare system poised to worsen coronavirus outbreak",No,
American College of Obstetricians and Gynecologists Took $11 Million From CDC to Push COVID Shots on,No,
American Jews on the Left Are Just Shocked by Their Fellow Leftists,No,
Anti-Vaxxers Appear To Be Losing Ground In The Online Vaccine Debate,No,
Antivax Chronicles_ Covid Vaccine Supply Will Soon Outpace Demand in the U.S,No,
Appeals court of U.S. rules that Pharmacy owners can't cite religion to disallow medicine,Yes,
"Appeals court of U.S. verdicts that on basis of religious objection, Pharmacists cannot deny medicat",Yes,
Appellate Division Rules That A Court Cannot Compel Arbitration on Get Issue Absent Agreement,No,
Are Anti-Discrmination Laws Under Threat from the First Amendment_,No,
Arizona Law Will Allow Employers to Fire Women for Using Birth Control,No,
"Arkansas gov. signs law letting doctors refuse to treat on basis of morality, religion",No,"Unfortunately, even though the document did mention pharmacy refusal, 
no specific example was provided."
Arkansas Lege Wants Anyone Involved With Your Healthcare To Be Free To Discriminate Against You,No,"Unfortunately, even though the document did mention pharmacy refusal, 
no specific example was provided."
Armenian Assembly_ Omar's Refusal to Acknowledge Armenian Genocide Doesn't Represent 'Muslim Values',No,
Artistic license and use of copyright in creative pursuits,No,
"As COVID infections rise, nursing homes are still waiting for vaccines",No,
Ask Dr. Hamblin_ Am I Wrong to Tell Someone to Pull Up Her Mask_,No,
Assessing Whether You Can (or Should) Ask Customers to See Their Vaccine Cards,No,
Assignments Aimed at _Requiring a Statement_ of Ideological Belief from Students May Violate First A,No,
Assisted dying is not the easy way out,No,
Assisting the Great Conspiracy via Professional Loyalty,No,
Barrett and Kavanaugh join Supreme Court's left again to deny religious exemptions from vax mandates,No,
BBC Apologizes For Misreporting Israel - Palestine Conflict Again,No,
Bernie Sanders Says He Cannot GÇ£In Good ConscienceGÇ¥ Vote for Debt Ceiling Bill,No,
"Bernie Sanders_ Taxpayers Paid Billions For It, So Why Would Moderna Consider Quadrupling Price Of C",No,
Better Health Care Newsletter - August 2024,No,
Biden admin to rescind Trump 'conscience' rule for health workers,No,
Biden Is Trying To Twist the Law To Advance Abortion _ Opinion,No,
Biden Warns SCOTUS Ruling Will 'Embolden' Trump,No,
"BIDEN, DEMS VOW PROTECTIONS FOR REPRO HEALTH; TX AG SUES HHS FOR PRESCRIBING GUIDANCE",No,"The document mentioned pharmacy refusal but did not provide any 
specific examples."
Biden's guidance on pharmacists and abortion bans gets blowback,,
Biden's Policies Toward Israel Are Trump-Lite GÇô OpEd,,
Bigot Tennessee Therapists Can't Wait To Screw The Gays For Jesus,,
Birth control access could be next for SCOTUS to roll back_ _There's no doubt Griswold is at risk_,,
Brazil 's Bolsonaro Exempts Churches From Quarantine,,
Brewer's foolish veto,,
"California , Big Blues, and hospitals join the attack on sky-high drug prices",,
"California Court Refuses to Apply Iranian Law, in Part Because It Reflects Religious Ideology Rather",,
California sees limited change for workers after birth-control ruling,,
Can a Self-Funded Group Health Plan Exclude Coverage for Gender-Affirming Care_,,
Can Employers Mandate the COVID-19 Vaccine_ (Updated to incorporate EEOC guidance),,
Can Employers Require Employees to Get a COVID-19 Vaccine_,,
Can Employers Require Vaccinations For COVID-19_,,
Can Employers Require Vaccinations For COVID-19_ - UPDATED August 2021,,
Can't Pay Won't Pay,,
Carolina Company Sued by EEOC for Alleged Religious Discrimination,,
Catch up quick_ 7 things you missed this week in the states,,
CCHR Calls for Adoption of Mental Health Human Rights Declaration in 2020,,
CDC Prioritizes Health Care Personnel and LTCF Residents for COVID-19 Vaccine,,
Charlatan' Review_ Agnieszka Holland's Biopic About a Dubious Communist Healer Is Fascinating,,
City of San Francisco_ Trump Admin's New 'Conscience Rule' Should Be Declared Unconstitutional,,
Civil Court Can't Order Wife to Accept an Orthodox Jewish Husband's _Get_ (Divorce Document),,
"Client Alert_ Access to Mifepristone Still Standing for Now, but Questions Remain",,
"Clooney, Holt, And Others Push Ageist Tropes Against Biden Instead Of Addressing Project 2025 GÇô OpEd",,
CNN 's Lemon_ Unvaxxed are 'Stupid'; Time to Start 'Shaming' Them,,
Colleagues of doctor accused of killing patients by overprescribing pain medication sue hospital,,
Columbia and Other South Carolina Cities Pass Face Mask Ordinances,,
Columbus challenging Ohio 's _conscience clause_ health care law in court,,
"Column_ As 10 states prepare to vote on abortion rights, Texas shows that abortion bans are deadly f",,
Conscience and the Culture Wars,,
"Conservative Docs_ ACA, SCOTUS Do Not Bar All LGBT Discrimination",,
"Constitutional Lawyer' Sen. Hawley Says He Has a First Amendment Right to Be Privately Published, T",,
Corona Hijab Update,,
Coronavirus (US)_ Key vaccination issues for employers - Part 1,,
Court Blocks N.Y. Rule Categorically Denying Religious Exemptions from Healthcare Workers COVID Immu,,
Court Tosses Flu Shot Lawsuit - Employee's Religious Discrimination Claim Falls Flat,,
Court verdict on pharmacies looked as danger to religious liberty,,
Court-Ordered Administration of Medical Treatment_ Navigating the Complicated Intersection of Law an,,
COVID Vaccines for Long Term Care Employees_ To Mandate or Not to Mandate_,,
COVID-19 Safety Orders v. the First Amendment,,
COVID-19 vaccination and the workplace rights,,
COVID-19 Vaccination Planning for Employers_ Questions to Consider for Policy and Practice,,
COVID-19 Vaccinations_ Thoughts for Employers,,
COVID-19 Vaccine - Frequently Asked Questions,,
COVID-19 Vaccines Receive Emergency Approval_ But Can and Should U.S. Employers Force Employees to T,,
COVID-19_ EEOC Issues COVID-19 Vaccine Guidance for Employers,,
COVID-19_ Mandatory Vaccinations_ New EEOC Publication Provides Timely Guidance for Employers,,
CVS apologizes after a pharmacist refused to fill a transgender woman's prescription,,
CVS sued by a fired nurse practitioner who refused to prescribe birth control due to her religious b,,
D.C. Takes the Ax to Employer Noncompetes,,
Death warmed over_ Trump vs. Biden is frighteningly predictable,,
Decatur schools staff COVID vaccination deadline arrives,,
Defender General calls for mandatory vaccination of corrections officers,,
Democrat Gov. Gretchen Whitmer Threatens Doctors and Pharmacists Against Using Hydroxychloroquine,,
Democrat's 'Equality Act' Could Force Physicians to 'Do Harm',,
"Democrats See Republicans as the Enemy, Not As Loyal Opposition _ Opinion",,
Dems fear red states banning abortion will zero in on birth control next,,
Demystifying Public Policy To Enable Enforcement Of Foreign Awards - Indian Perspective PART I,,
Department of Health and Human Services Proposes New Rule For Healthcare Workers In The Name of Reli,,
DeSantis signs _medical freedom_ laws,,
Developments in Association Law 2022 - 2024,,
Diagnosis for 10.19.23_ Checking the pulse of Florida health care news and policy,,
Doctors Could Refuse Patients Over Religious Beliefs Under New Bill,,
Doctors' Religious Beliefs_ Round Two,,
Does the First Amendment Bar Public Schools from Removing Library Books Based on Their Viewpoints_,,
Does the First Amendment Bar Public Schools from Removing School Library Books Based on Their Viewpo,,
Doing Business in Israel _ Jurisdiction and Arbitration Stipulations,,
Donald Trying To Use Taxpayer Money To Buy Seniors' Votes For $200 Each,,
Dozens of 'friend of the court' briefs backing abortion pill access arrive at Supreme Court,,
Dreading four more months of the presidential campaign_ Our critic turned to the classics,,
Dublin Celebrates 'Bloomsday' As Joyce's 'Ulysses' Hits 100,,
Editorial_ Supreme Court should not take up Louisiana 's provocative Ten Commandments law,,
EEOC Guidance Defines Contours of Permissible Mandatory Workplace Vaccination,,
EEOC Guidance for Employers on COVID-19 Vaccines Before a Return to Work,,
EEOC Guidance Regarding COVID-19 Vaccinations,,
EEOC Issues COVID-19 Vaccination Guidance,,
EEOC Issues Guidance On Whether Employers Can Require Employees To Receive A COVID-19 Vaccine,,
EEOC Issues Updated Employer Guidance Concerning Mandatory COVID-19 Vaccinations,,
EEOC Issues Updated FAQs Relating to COVID-19 Pandemic,,
EEOC Issues Updated Guidance Regarding COVID-19 Vaccines,,
EEOC Provides Shot in the Arm to Employers with Long-Awaited Guidance on COVID Vaccines,,
EEOC Publishes Initial Guidance Addressing COVID-19 Vaccine Considerations for Employers,,
EEOC Says Employers May Mandate COVID-19 Vaccinations - Subject to Limitations,,
EEOC Updates COVID-19 Guidance on Employer Administered or Mandated Vaccinations,,
"EEOC Weighs In on COVID-19 Vaccines, Raising Medical Inquiry, Accommodation and Discrimination Conce",,
"Eight Day Journey from Hong Kong to Chile , Covid-19 on my Tail",,
Emergency contraception marks a new battle line in Texas,,
Employer FAQs Regarding COVID-19 Vaccination and Testing Mandate for Federal Contractors and Large E,,
Employer Vaccination Programs and New EEOC COVID-19 Guidance,,
Employer's Top Five COVID-19 Vaccination Questions Answered,,
"Employers May Encourage Employees to Receive COVID-19 Vaccine, But Requiring It Raises Issues",,
Employment Discrimination Claims Related to Vaccination Refusal - Disability,,
Employment Law Alert - OSHA Issues Long-Awaited Rule Requiring Mandatory 'Vaccinate or Test Weekly',,
Employment Law Update_ Do's And Don'ts For Employers On Mandating COVID-19 Vaccinations,,
Equality Slippery Slopes,,
Even Christian Pharmacists Have to Stock Plan B,,
Extremist Republicans In Congress Tell Supreme Court To Ban The Use Of Abortion Pills Nationwide,,
"FDA approves first daily over-the-counter birth control pill, Opill - a pharmacist and public health",,
Federal and local COVID-19 updates,,
"Federal Court Issues Order in Lawsuit Against the Twin Cities of Colorado City, Arizona and Hildale",,
"Federal Court Strikes Down HHS 'Conscience Rule,' Sparking Heated Rhetoric And Potential Confusion",,
Federal Government Issues Additional Guidance Related to COVID-19 Safety Protocol Compliance_Enforce,,
Federal judge rules employers may refuse to provide contraceptive coverage for moral reasons,,
Federal judge strikes Florida ban on gender-affirming care for children,,
Federal judges grill Biden administration on abortion pill,,
Federal judges predict health care birth control mandate will fail,,
Fees Award to Women's Rights Group Published,,
Fetal Abnormalities_ The Next Minefield in the Abortion Wars_,,
"First, Do No Harm",,
Flamethrower-Toting Anti-Vax Leader Who Said Pharmacists Should Be 'Executed' Nabbed For Trespassing,,
Florida Appellate Court Disqualifies Judge in Gender-Tradition Child Removal Case,,
Florida Pastor Arrested For Holding Crowded Service Despite 'Stay-At-Home' Order,,
"For to block state birth control rule, Pharmacists urges to SC",,
"Foreigners, Doctors Wrongly Targeted For COVID-19 Spread In India",,
Former Title X Grantees To HHS_ Quickly Issue Rule Axing Trump Policy,,
Franklin Graham Voices Support For Rays Pitchers Who Refused Pride Insignia,,
Frequently Asked Questions on Workplace Vaccine Policies,,
Frequently Asked Questions Regarding Employer Vaccine Requirements,,
"From George Washington to Pearl Harbor, God was Honored in our Military",,
Gates of Vienna News Feed 1_23_2022,,
Gates of Vienna News Feed 8_11_2024,,
Gavin Newsom Dumping Walgreens And Any Other Cowards That Cave To Anti-Abortion Fascists,,
"Gaza War_ Deceptions, Distortions, Misperceptions",,
GÇÿConscienceGÇÖ bills let medical providers opt out of providing a wide range of care,,
GÇÿPlan BGÇÖ_ Film Review,,
Georgia Republicans Want To Gay-Bang The Gays With Exciting New Religious Freedom Laws,,
Global Re-Opening_ Considerations When Employees Return to the Workplace,,
Go Back to Mexico '_ Teacher Rants at Fifth Grader Who Refuses to Recite the Pledge of Allegiance,,
God vs. the Government The Little Sisters case is not about a form. It's about who gets to decide wh,,
"Good Catholic' Pharmacist Doesn't Know Difference Between Miscarriage and Abortion, But He'll Learn",,
GOP embraces natural immunity as substitute for vaccines,,
GOP HONES ABORTION LANGUAGE; IN ENACTS STRICT BAN,,
GOP Hones Abortion Language; IN Enacts Strict Ban; MN Court Hears Emergency Contraception Case,,
Gov. Bill Lee wants to expand care for needy moms,,
Guarantees Not RequiredGÇöFor Now - Court Rules For Employer In Religious-Based Scheduling Accommodati,,
Hard Road Ahead For Sri Lanka 's President-Elect Anura Kumara Dissanayake GÇô Analysis,,
Has Big Pharma Bought Enough Democrats to Derail Biden's Plan_,,
"He, She, They_ The Pronoun Debate Will Likely Land at the Supreme Court",,
Health Care Enforcement Quarterly Roundup _ Q2 2019,,
Health Care's Intertwined Colossus,,
Healthcare Authority Newsletter - August 2023 #1,,
Healthcare Enforcement Quarterly Roundup _ Q2 2019,,
Hearing 2_20_2018 - Protecting the Rights of Conscience for Medical Professionals,,
Here are 10 controversial Florida laws going into effect July 1,,
Here are the top Florida health care stories of 2023,,
Here's why some businesses can deny you service - but others can't,,
HHS PROBES PHARMACIES FOR LIMITING MEDICATIONS; NY RELEASES ABORTION FUNDS,,
HHS Publishes New Rights of Conscience Final Rule,,
Hilary Mantel,,
How an Anti-Abortion Law Firm Teamed Up With a Disgraced Kansas Attorney to Dispute the 2020 Electio,,
How Mike Pence's ' Indiana mafia' took over health care policy,,
How One Clinic in Texas Explains the Threat to Contraception,,
How the Supreme Court found its faith and put 'religious liberty' on a winning streak,,
How to End a Crazy Right-Wing Plan,,
Huckabee's 'libido' comment chilling for women,,
If God Had So Wanted (Part II) GÇô OpEd,,
"If Tom Malinowski Is Reelected, He'll Owe Far More To The Star-Ledger Than To The Democratic Party",,
"In 2017, news never stopped. Here are our most-read Texas stories this year",,
